Initial number of nuclei A : 100
Initial number of nuclei B : 0
Time constant : 1.00 s
Time step : 0.01 s
Total time : 10.00 s
Time		Number of nuclei A		Number of nuclei B
2.73		    50.201228			    49.798772
2.74		    50.197204			    49.802796
2.75		    50.193259			    49.806741
2.76		    50.189394			    49.810606
2.77		    50.185606			    49.814394
2.78		    50.181894			    49.818106
2.79		    50.178256			    49.821744
2.80		    50.174691			    49.825309
2.81		    50.171197			    49.828803
2.82		    50.167773			    49.832227
2.83		    50.164418			    49.835582
2.84		    50.161130			    49.838870
2.85		    50.157907			    49.842093
2.86		    50.154749			    49.845251
2.87		    50.151654			    49.848346
2.88		    50.148621			    49.851379
2.89		    50.145648			    49.854352
2.90		    50.142735			    49.857265
2.91		    50.139881			    49.860119
2.92		    50.137083			    49.862917
2.93		    50.134341			    49.865659
2.94		    50.131655			    49.868345
2.95		    50.129022			    49.870978
2.96		    50.126441			    49.873559
2.97		    50.123912			    49.876088
2.98		    50.121434			    49.878566
2.99		    50.119005			    49.880995
3.00		    50.116625			    49.883375
3.01		    50.114293			    49.885707
3.02		    50.112007			    49.887993
3.03		    50.109767			    49.890233
3.04		    50.107571			    49.892429
3.05		    50.105420			    49.894580
3.06		    50.103312			    49.896688
3.07		    50.101245			    49.898755
3.08		    50.099220			    49.900780
3.09		    50.097236			    49.902764
3.10		    50.095291			    49.904709
3.11		    50.093386			    49.906614
3.12		    50.091518			    49.908482
3.13		    50.089687			    49.910313
3.14		    50.087894			    49.912106
3.15		    50.086136			    49.913864
3.16		    50.084413			    49.915587
3.17		    50.082725			    49.917275
3.18		    50.081070			    49.918930
3.19		    50.079449			    49.920551
3.20		    50.077860			    49.922140
3.21		    50.076303			    49.923697
3.22		    50.074777			    49.925223
3.23		    50.073281			    49.926719
3.24		    50.071816			    49.928184
3.25		    50.070379			    49.929621
3.26		    50.068972			    49.931028
3.27		    50.067592			    49.932408
3.28		    50.066240			    49.933760
3.29		    50.064916			    49.935084
3.30		    50.063617			    49.936383
3.31		    50.062345			    49.937655
3.32		    50.061098			    49.938902
3.33		    50.059876			    49.940124
3.34		    50.058679			    49.941321
3.35		    50.057505			    49.942495
3.36		    50.056355			    49.943645
3.37		    50.055228			    49.944772
3.38		    50.054123			    49.945877
3.39		    50.053041			    49.946959
3.40		    50.051980			    49.948020
3.41		    50.050940			    49.949060
3.42		    50.049922			    49.950078
3.43		    50.048923			    49.951077
3.44		    50.047945			    49.952055
3.45		    50.046986			    49.953014
3.46		    50.046046			    49.953954
3.47		    50.045125			    49.954875
3.48		    50.044223			    49.955777
3.49		    50.043338			    49.956662
3.50		    50.042471			    49.957529
3.51		    50.041622			    49.958378
3.52		    50.040790			    49.959210
3.53		    50.039974			    49.960026
3.54		    50.039174			    49.960826
3.55		    50.038391			    49.961609
3.56		    50.037623			    49.962377
3.57		    50.036870			    49.963130
3.58		    50.036133			    49.963867
3.59		    50.035410			    49.964590
3.60		    50.034702			    49.965298
3.61		    50.034008			    49.965992
3.62		    50.033328			    49.966672
3.63		    50.032661			    49.967339
3.64		    50.032008			    49.967992
3.65		    50.031368			    49.968632
3.66		    50.030741			    49.969259
3.67		    50.030126			    49.969874
3.68		    50.029523			    49.970477
3.69		    50.028933			    49.971067
3.70		    50.028354			    49.971646
3.71		    50.027787			    49.972213
3.72		    50.027231			    49.972769
3.73		    50.026687			    49.973313
3.74		    50.026153			    49.973847
3.75		    50.025630			    49.974370
3.76		    50.025117			    49.974883
3.77		    50.024615			    49.975385
3.78		    50.024123			    49.975877
3.79		    50.023640			    49.976360
3.80		    50.023167			    49.976833
3.81		    50.022704			    49.977296
3.82		    50.022250			    49.977750
3.83		    50.021805			    49.978195
3.84		    50.021369			    49.978631
3.85		    50.020942			    49.979058
3.86		    50.020523			    49.979477
3.87		    50.020112			    49.979888
3.88		    50.019710			    49.980290
3.89		    50.019316			    49.980684
3.90		    50.018930			    49.981070
3.91		    50.018551			    49.981449
3.92		    50.018180			    49.981820
3.93		    50.017816			    49.982184
3.94		    50.017460			    49.982540
3.95		    50.017111			    49.982889
3.96		    50.016769			    49.983231
3.97		    50.016433			    49.983567
3.98		    50.016105			    49.983895
3.99		    50.015782			    49.984218
4.00		    50.015467			    49.984533
4.01		    50.015157			    49.984843
4.02		    50.014854			    49.985146
4.03		    50.014557			    49.985443
4.04		    50.014266			    49.985734
4.05		    50.013981			    49.986019
4.06		    50.013701			    49.986299
4.07		    50.013427			    49.986573
4.08		    50.013159			    49.986841
4.09		    50.012895			    49.987105
4.10		    50.012637			    49.987363
4.11		    50.012385			    49.987615
4.12		    50.012137			    49.987863
4.13		    50.011894			    49.988106
4.14		    50.011656			    49.988344
4.15		    50.011423			    49.988577
4.16		    50.011195			    49.988805
4.17		    50.010971			    49.989029
4.18		    50.010752			    49.989248
4.19		    50.010536			    49.989464
4.20		    50.010326			    49.989674
4.21		    50.010119			    49.989881
4.22		    50.009917			    49.990083
4.23		    50.009719			    49.990281
4.24		    50.009524			    49.990476
4.25		    50.009334			    49.990666
4.26		    50.009147			    49.990853
4.27		    50.008964			    49.991036
4.28		    50.008785			    49.991215
4.29		    50.008609			    49.991391
4.30		    50.008437			    49.991563
4.31		    50.008268			    49.991732
4.32		    50.008103			    49.991897
4.33		    50.007941			    49.992059
4.34		    50.007782			    49.992218
4.35		    50.007626			    49.992374
4.36		    50.007474			    49.992526
4.37		    50.007324			    49.992676
4.38		    50.007178			    49.992822
4.39		    50.007034			    49.992966
4.40		    50.006894			    49.993106
4.41		    50.006756			    49.993244
4.42		    50.006621			    49.993379
4.43		    50.006488			    49.993512
4.44		    50.006358			    49.993642
4.45		    50.006231			    49.993769
4.46		    50.006107			    49.993893
4.47		    50.005984			    49.994016
4.48		    50.005865			    49.994135
4.49		    50.005747			    49.994253
4.50		    50.005633			    49.994367
4.51		    50.005520			    49.994480
4.52		    50.005409			    49.994591
4.53		    50.005301			    49.994699
4.54		    50.005195			    49.994805
4.55		    50.005091			    49.994909
4.56		    50.004990			    49.995010
4.57		    50.004890			    49.995110
4.58		    50.004792			    49.995208
4.59		    50.004696			    49.995304
4.60		    50.004602			    49.995398
4.61		    50.004510			    49.995490
4.62		    50.004420			    49.995580
4.63		    50.004332			    49.995668
4.64		    50.004245			    49.995755
4.65		    50.004160			    49.995840
4.66		    50.004077			    49.995923
4.67		    50.003995			    49.996005
4.68		    50.003915			    49.996085
4.69		    50.003837			    49.996163
4.70		    50.003760			    49.996240
4.71		    50.003685			    49.996315
4.72		    50.003611			    49.996389
4.73		    50.003539			    49.996461
4.74		    50.003468			    49.996532
4.75		    50.003399			    49.996601
4.76		    50.003331			    49.996669
4.77		    50.003264			    49.996736
4.78		    50.003199			    49.996801
4.79		    50.003135			    49.996865
4.80		    50.003072			    49.996928
4.81		    50.003011			    49.996989
4.82		    50.002951			    49.997049
4.83		    50.002892			    49.997108
4.84		    50.002834			    49.997166
4.85		    50.002777			    49.997223
4.86		    50.002722			    49.997278
4.87		    50.002667			    49.997333
4.88		    50.002614			    49.997386
4.89		    50.002562			    49.997438
4.90		    50.002510			    49.997490
4.91		    50.002460			    49.997540
4.92		    50.002411			    49.997589
4.93		    50.002363			    49.997637
4.94		    50.002316			    49.997684
4.95		    50.002269			    49.997731
4.96		    50.002224			    49.997776
4.97		    50.002179			    49.997821
4.98		    50.002136			    49.997864
4.99		    50.002093			    49.997907
5.00		    50.002051			    49.997949
5.01		    50.002010			    49.997990
5.02		    50.001970			    49.998030
5.03		    50.001931			    49.998069
5.04		    50.001892			    49.998108
5.05		    50.001854			    49.998146
5.06		    50.001817			    49.998183
5.07		    50.001781			    49.998219
5.08		    50.001745			    49.998255
5.09		    50.001710			    49.998290
5.10		    50.001676			    49.998324
5.11		    50.001642			    49.998358
5.12		    50.001610			    49.998390
5.13		    50.001577			    49.998423
5.14		    50.001546			    49.998454
5.15		    50.001515			    49.998485
5.16		    50.001485			    49.998515
5.17		    50.001455			    49.998545
5.18		    50.001426			    49.998574
5.19		    50.001397			    49.998603
5.20		    50.001369			    49.998631
5.21		    50.001342			    49.998658
5.22		    50.001315			    49.998685
5.23		    50.001289			    49.998711
5.24		    50.001263			    49.998737
5.25		    50.001238			    49.998762
5.26		    50.001213			    49.998787
5.27		    50.001189			    49.998811
5.28		    50.001165			    49.998835
5.29		    50.001142			    49.998858
5.30		    50.001119			    49.998881
